,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,property,age,number_credits,job,people_liable,telephone,credit_risk
0,1,18,4,2,1049,1,2,4,2,2,21,1,3,2,1,1
1,1,9,4,0,2799,1,3,2,3,1,36,2,3,1,1,1
2,2,12,2,9,841,2,4,2,2,1,23,1,2,2,1,1
3,1,12,4,0,2122,1,3,3,3,1,39,2,2,1,1,1
4,1,12,4,0,2171,1,3,4,3,2,38,2,2,2,1,1
5,1,10,4,0,2241,1,2,1,3,1,48,2,2,1,1,1
6,1,8,4,0,3398,1,4,1,3,1,39,2,2,2,1,1
7,1,6,4,0,1361,1,2,2,3,1,40,1,2,1,1,1
8,4,18,4,3,1098,1,1,4,2,3,65,2,1,2,1,1
9,2,24,2,3,3758,3,1,1,2,4,23,1,1,2,1,1
10,1,11,4,0,3905,1,3,2,3,1,36,2,3,1,1,1
11,1,30,4,1,6187,2,4,1,4,3,24,2,3,2,1,1
12,1,6,4,3,1957,1,4,1,2,3,31,1,3,2,1,1
13,2,48,3,10,7582,2,1,2,3,4,31,1,4,2,2,1
14,1,18,2,3,1936,5,4,2,4,3,23,2,2,2,1,1
15,1,6,2,3,2647,3,3,2,3,1,44,1,3,1,1,1
16,1,11,4,0,3939,1,3,1,3,1,40,2,2,1,1,1
17,2,18,2,3,3213,3,2,1,4,1,25,1,3,2,1,1
18,2,36,4,3,2337,1,5,4,3,1,36,1,3,2,1,1
19,4,11,4,0,7228,1,3,1,3,2,39,2,2,2,1,1
20,1,6,4,0,3676,1,3,1,3,1,37,3,3,1,1,1
21,2,12,4,0,3124,1,2,1,3,1,49,2,2,1,1,1
22,2,36,2,5,2384,1,2,4,3,4,33,1,2,2,1,0
23,2,12,4,4,1424,1,4,4,3,2,26,1,3,2,1,1
24,1,6,4,0,4716,5,2,1,3,1,44,2,2,1,1,1
25,2,11,3,3,4771,1,4,2,3,2,51,1,3,2,1,1
26,1,12,2,2,652,1,5,4,2,2,24,1,3,2,1,1
27,2,9,4,3,1154,1,5,2,3,1,37,3,2,2,1,1
28,4,15,2,0,3556,5,3,3,3,4,29,1,3,2,1,1
29,3,42,4,1,4796,1,5,4,3,4,56,1,3,2,1,1
30,3,30,4,3,3017,1,5,4,3,2,47,1,3,2,1,1
31,4,36,4,0,3535,1,4,4,3,3,37,2,3,2,2,1
32,4,36,4,0,6614,1,5,4,3,3,34,2,4,2,2,1
33,4,24,2,3,1376,3,4,4,2,3,28,1,3,2,1,1
34,1,15,2,0,1721,1,2,2,3,1,36,1,3,2,1,1
35,1,6,4,0,860,1,5,1,2,4,39,2,3,2,2,1
36,4,12,4,0,1495,1,5,4,3,1,38,2,2,1,1,1
37,4,12,4,3,1934,1,5,2,3,4,26,2,3,2,1,1
38,4,18,2,1,3378,5,3,2,3,2,31,1,3,2,2,1
39,4,24,4,1,3868,1,5,4,2,3,41,2,4,2,2,1
40,4,12,4,5,996,5,4,4,2,1,23,2,3,2,1,1
41,1,24,2,10,1755,1,5,4,2,1,58,1,2,2,2,1
42,4,18,4,0,1028,1,3,4,2,1,36,2,3,2,1,1
43,2,24,4,9,2825,5,4,4,3,4,34,2,3,1,2,1
44,2,18,2,6,1239,5,3,4,3,4,61,1,3,2,1,1
45,1,18,2,0,1216,1,2,4,2,3,23,1,3,2,2,0
46,4,24,2,9,1258,1,4,4,3,1,25,1,3,2,2,1
47,4,18,4,6,1864,2,3,4,2,1,30,2,3,2,1,0
48,4,24,2,0,1474,2,2,4,4,1,33,1,3,2,2,1
49,1,24,4,9,1382,2,4,4,3,1,26,2,3,2,2,1
50,4,12,2,0,640,1,3,4,1,1,49,1,2,2,1,1
51,3,36,2,3,3919,1,3,2,3,1,23,1,3,2,2,1
52,4,9,4,0,1224,1,3,3,3,1,30,2,3,2,1,1
53,4,12,4,3,2331,5,5,1,3,1,49,1,3,2,2,1
54,4,24,2,1,6313,5,5,3,3,3,41,1,4,1,2,1
55,1,12,4,3,385,1,4,4,2,1,58,4,2,2,2,1
56,4,12,4,3,1655,1,5,2,3,1,63,2,2,2,2,1
57,1,15,2,3,1053,1,2,4,4,1,27,1,3,2,1,1
58,4,21,2,3,3160,5,5,4,3,2,41,1,3,2,2,1
59,4,36,2,0,3079,5,3,4,3,1,36,1,3,2,1,1
60,4,12,4,0,1163,3,3,4,3,1,44,1,3,2,2,1
61,4,24,2,1,2679,1,2,4,2,4,29,1,4,2,2,1
62,4,48,4,3,3578,5,5,4,3,1,47,1,3,2,2,1
63,4,36,3,0,10875,1,5,2,3,3,45,2,3,1,2,1
64,1,12,3,0,1344,1,3,4,3,1,43,2,2,1,1,1
65,4,6,4,3,1237,2,3,1,2,2,27,2,3,2,1,1
66,4,12,2,3,3077,1,3,2,3,3,52,1,3,2,2,1
67,4,24,2,3,2284,1,4,4,3,3,28,1,3,2,2,1
68,2,12,2,3,1567,1,3,1,2,3,22,1,3,2,2,1
69,4,24,3,0,2032,1,5,4,3,4,60,2,3,2,2,1
70,2,21,4,2,2745,4,4,3,3,3,32,2,3,2,2,1
71,4,30,2,3,1867,5,5,4,3,3,58,1,3,2,2,1
72,4,36,2,3,2299,3,5,4,3,3,39,1,3,2,1,1
73,4,24,2,2,929,5,4,4,3,3,31,1,3,2,2,1
74,3,12,2,3,3399,5,5,2,3,3,37,1,4,2,1,1
75,2,9,2,2,2030,5,4,2,3,3,24,1,3,2,2,1
76,4,21,4,1,3275,1,5,1,3,3,36,1,4,2,2,1
77,4,24,4,0,1940,4,5,4,3,1,60,1,3,2,2,1
78,1,21,4,0,1602,1,5,4,4,3,30,2,3,2,2,1
79,4,15,2,3,1979,5,5,4,3,3,35,1,3,2,1,1
80,4,24,4,0,2022,1,3,4,2,3,37,1,3,2,2,1
81,4,36,4,3,3342,5,5,4,3,3,51,1,3,2,2,1
82,2,18,2,0,5866,2,3,2,3,3,30,2,3,2,2,1
83,3,15,4,1,2360,3,3,2,3,3,36,1,3,2,2,1
84,4,15,4,2,1520,5,5,4,3,2,63,1,3,2,1,1
85,1,12,2,0,3651,4,3,1,3,2,31,1,3,1,1,1
86,4,24,4,1,2346,1,4,4,3,3,35,2,3,2,2,1
87,4,36,3,3,4454,1,3,4,2,1,34,2,3,2,1,1
88,1,6,4,0,666,4,4,3,2,1,39,2,2,2,2,1
89,2,24,3,0,1965,5,3,4,2,3,42,2,3,2,2,1
90,2,12,4,0,1995,2,2,4,3,3,27,1,3,2,1,1
91,2,30,2,3,2991,5,5,2,2,3,25,1,3,2,1,1
92,2,30,0,9,4221,1,3,2,2,3,28,2,3,2,1,1
93,1,9,2,3,1364,1,4,3,3,1,59,1,3,2,1,1
94,2,18,4,2,6361,1,5,2,3,4,41,1,3,2,2,1
95,4,27,4,2,4526,4,2,4,3,1,32,2,2,1,2,1
96,2,12,4,3,3573,1,3,1,2,1,23,1,2,2,1,1
97,2,36,3,9,4455,1,3,2,1,1,30,2,4,2,2,0
98,1,9,2,2,2136,1,3,3,3,1,25,1,3,2,1,1
